month,month_count,per_month,target
2017-12,1,2,2
2018-01,2,4,6
2018-02,3,4,10
2018-03,4,4,14
2018-04,5,4,18
2018-05,6,4,22
2018-06,7,4,26
2018-07,8,4,30
2018-08,9,4,34
2018-09,10,4,38
2018-10,11,4,42
2018-11,12,4,46
2018-12,13,4,50
2019-01,14,4,54
2019-02,15,4,58
2019-03,16,4,62
2019-04,17,4,66
2019-05,18,4,70
2019-06,19,4,74
2019-07,20,4,78
2019-08,21,4,82
2019-09,22,4,86
2019-10,23,4,90
2019-11,24,4,94
2019-12,25,4,98
2020-01,26,4,102
2020-02,27,4,106
2020-03,28,4,110
2020-04,29,4,114
2020-05,30,3,117
2020-06,31,3,120
2020-07,32,3,123
2020-08,33,3,126
2020-09,34,3,129
2020-10,35,3,132
2020-11,36,3,135
2020-12,37,3,138
2021-01,38,3,141
2021-02,39,3,144
2021-03,40,3,147
2021-04,41,3,150
